"","rider","location","number","finish","lap","time","behind","place","year","round","moto","track","date","race_id","class","type","points"
"158","GAVIN BROUGH","Nevada","670",10,5,135.848,37.254,9,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",11
"159","GAVIN BROUGH","Nevada","670",10,6,136.551,44.201,10,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",11
"160","GAVIN BROUGH","Nevada","670",10,7,136.581,51.575,10,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",11
"161","GAVIN BROUGH","Nevada","670",10,8,136.721,58.405,10,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",11
"162","GAVIN BROUGH","Nevada","670",10,9,137.394,65.464,10,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",11
"163","GAVIN BROUGH","Nevada","670",10,10,136.946,71.771,10,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",11
"164","GAVIN BROUGH","Nevada","670",10,11,138.189,78.004,10,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",11
"165","GAVIN BROUGH","Nevada","670",10,12,140.038,87.571,10,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",11
"166","GAVIN BROUGH","Nevada","670",10,13,137.992,92.944,10,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",11
"167","GAVIN BROUGH","Nevada","670",10,14,137.856,97.524,10,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",11
"168","GAVIN BROUGH","Nevada","670",10,15,138.298,101.38,10,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",11
"169","GAVIN BROUGH","Nevada","670",10,16,139.016,108.178,10,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",11
"170","GAVIN BROUGH","Nevada","670",10,17,139.304,113.352,10,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",11
"171","PARKER EALES","British Columbia","18",11,1,75.477,15.477,15,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",10
"172","PARKER EALES","British Columbia","18",11,2,140.978,25.151,14,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",10
"173","PARKER EALES","British Columbia","18",11,3,138.686,34.29,14,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",10
"174","PARKER EALES","British Columbia","18",11,4,138.814,43.555,14,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",10
"175","PARKER EALES","British Columbia","18",11,5,139.27,52.755,13,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",10
"176","PARKER EALES","British Columbia","18",11,6,139.176,62.327,13,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",10
"177","PARKER EALES","British Columbia","18",11,7,139.189,72.309,13,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",10
"178","PARKER EALES","British Columbia","18",11,8,138.252,80.67,13,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",10
