finish,rider,number,lap,time,behind,place,year,round,moto,track,date,race_id,class,type,points
1,"GAGE LINVILLELakepark, Ge",402,11,137.541,0,1,2024,6,1,Riverglade MX,2024-07-19,250_2024_11,250,mx,25
1,"GAGE LINVILLELakepark, Ge",402,12,137.186,0,1,2024,6,1,Riverglade MX,2024-07-19,250_2024_11,250,mx,25
1,"GAGE LINVILLELakepark, Ge",402,13,138.706,0,1,2024,6,1,Riverglade MX,2024-07-19,250_2024_11,250,mx,25
1,"GAGE LINVILLELakepark, Ge",402,14,141.635,0,1,2024,6,1,Riverglade MX,2024-07-19,250_2024_11,250,mx,25
2,"KAVEN BENOITste-perpetue, QC",26,1,76.396,16.396,14,2024,6,1,Riverglade MX,2024-07-19,250_2024_11,250,mx,22
2,"KAVEN BENOITste-perpetue, QC",26,2,136.928,17.789,11,2024,6,1,Riverglade MX,2024-07-19,250_2024_11,250,mx,22
2,"KAVEN BENOITste-perpetue, QC",26,3,135.328,19.939,10,2024,6,1,Riverglade MX,2024-07-19,250_2024_11,250,mx,22
2,"KAVEN BENOITste-perpetue, QC",26,4,135.146,22.32,9,2024,6,1,Riverglade MX,2024-07-19,250_2024_11,250,mx,22
2,"KAVEN BENOITste-perpetue, QC",26,5,132.496,20.942,7,2024,6,1,Riverglade MX,2024-07-19,250_2024_11,250,mx,22
2,"KAVEN BENOITste-perpetue, QC",26,6,130.654,16.902,7,2024,6,1,Riverglade MX,2024-07-19,250_2024_11,250,mx,22
2,"KAVEN BENOITste-perpetue, QC",26,7,133.117,14.948,7,2024,6,1,Riverglade MX,2024-07-19,250_2024_11,250,mx,22
2,"KAVEN BENOITste-perpetue, QC",26,8,137.056,16.518,5,2024,6,1,Riverglade MX,2024-07-19,250_2024_11,250,mx,22
2,"KAVEN BENOITste-perpetue, QC",26,9,137.991,17.797,3,2024,6,1,Riverglade MX,2024-07-19,250_2024_11,250,mx,22
2,"KAVEN BENOITste-perpetue, QC",26,10,135.169,14.763,2,2024,6,1,Riverglade MX,2024-07-19,250_2024_11,250,mx,22
2,"KAVEN BENOITste-perpetue, QC",26,11,134.347,11.569,2,2024,6,1,Riverglade MX,2024-07-19,250_2024_11,250,mx,22
2,"KAVEN BENOITste-perpetue, QC",26,12,137.662,12.045,2,2024,6,1,Riverglade MX,2024-07-19,250_2024_11,250,mx,22
2,"KAVEN BENOITste-perpetue, QC",26,13,136.742,10.081,2,2024,6,1,Riverglade MX,2024-07-19,250_2024_11,250,mx,22
2,"KAVEN BENOITste-perpetue, QC",26,14,138.38,6.826,2,2024,6,1,Riverglade MX,2024-07-19,250_2024_11,250,mx,22
3,"TYLER MEDAGLIABrookfield, On",5,1,66.563,6.563,6,2024,6,1,Riverglade MX,2024-07-19,250_2024_11,250,mx,20
3,"TYLER MEDAGLIABrookfield, On",5,2,135.277,6.305,5,2024,6,1,Riverglade MX,2024-07-19,250_2024_11,250,mx,20
3,"TYLER MEDAGLIABrookfield, On",5,3,134.977,8.104,5,2024,6,1,Riverglade MX,2024-07-19,250_2024_11,250,mx,20
3,"TYLER MEDAGLIABrookfield, On",5,4,134.702,10.041,5,2024,6,1,Riverglade MX,2024-07-19,250_2024_11,250,mx,20
