"","finish","rider","number","lap","time","behind","place","year","round","moto","track","date","race_id","class","type","points"
"135",8,"KEYLAN MESTONRockyViewCounty, AB","10",16,139.464,86.004,8,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",13
"136",8,"KEYLAN MESTONRockyViewCounty, AB","10",17,140.755,92.629,8,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",13
"137",9,"JULIEN BENEKMission, BC","17",1,74.843,14.843,14,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",12
"138",9,"JULIEN BENEKMission, BC","17",2,135.891,19.43,12,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",12
"139",9,"JULIEN BENEKMission, BC","17",3,135.6,25.483,12,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",12
"140",9,"JULIEN BENEKMission, BC","17",4,136.537,32.471,11,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",12
"141",9,"JULIEN BENEKMission, BC","17",5,135.393,37.794,10,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",12
"142",9,"JULIEN BENEKMission, BC","17",6,134.788,42.978,9,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",12
"143",9,"JULIEN BENEKMission, BC","17",7,135.037,48.808,9,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",12
"144",9,"JULIEN BENEKMission, BC","17",8,135.406,54.323,9,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",12
"145",9,"JULIEN BENEKMission, BC","17",9,138.581,62.569,9,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",12
"146",9,"JULIEN BENEKMission, BC","17",10,136.547,68.477,9,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",12
"147",9,"JULIEN BENEKMission, BC","17",11,137.552,74.073,9,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",12
"148",9,"JULIEN BENEKMission, BC","17",12,138.124,81.726,9,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",12
